inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
07,El Oro,715751,0710,Piñas,30206,-3.666667000000000,-79.65000000000001,92.53%,92.53%,92.81%,93.18%,93.68%,94.06%,94.45%,94.56%
07,El Oro,715751,0711,Portovelo,14028,-3.720000000000000,-79.62000000000000,114.62%,114.62%,114.89%,115.36%,115.8%,116.21%,116.88%,117.12%
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,81.58%,81.59%,81.78%,82.04%,82.3%,82.61%,82.98%,83.28%
07,El Oro,715751,0713,Zaruma,25654,-3.433333000000000,-79.59999999999999,93.35%,93.35%,93.69%,93.9%,94.01%,94.63%,95.1%,95.26%
08,Esmeraldas,591083,0806,Atacames,55495,0.8666670000000000,-79.83333300000000,74.84%,74.84%,75.11%,75.34%,75.72%,76.15%,76.58%,76.63%
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.250000000000000,-79,73.98%,74.02%,74.09%,74.23%,74.44%,74.63%,74.73%,74.94%
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.050000000000000,-79.20000000000000,77.38%,77.38%,77.57%,77.78%,78.03%,78.42%,78.77%,78.85%
08,Esmeraldas,591083,0803,Muisne,31106,0.6067000000000000,-80.01830000000000,69.64%,69.64%,69.75%,70.1%,70.4%,70.55%,71.14%,71.29%
08,Esmeraldas,591083,0804,Quinindé,145879,0.3300000000000000,-79.48000000000000,70.93%,70.93%,70.99%,71.22%,71.42%,71.61%,71.9%,72.38%
08,Esmeraldas,591083,0807,Rioverde,31475,1.060200000000000,-79.40440000000000,68.99%,68.99%,69.03%,69.15%,69.31%,69.43%,69.56%,69.63%
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.265800000000000,-78.84139999999999,54%,54%,54.09%,54.24%,54.36%,54.53%,54.67%,54.74%
20,Galápagos,33042,2002,Isabela,3073,-0.4724000000000000,-90.68110000000000,114.01%,114.01%,114.01%,114.01%,114.33%,114.33%,114.33%,114.33%
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,111.74%,111.74%,112.13%,112.49%,112.88%,113.24%,113.71%,113.71%
20,Galápagos,33042,2003,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,102.37%,102.37%,102.49%,102.67%,103%,103.44%,103.84%,103.87%
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,59.33%,59.33%,59.59%,59.83%,60.06%,60.41%,60.69%,60.9%
09,Guayas,4387434,0903,Balao,26348,-2.910000000000000,-79.81000000000000,64.3%,64.3%,64.49%,64.7%,64.85%,65.05%,65.27%,65.27%
09,Guayas,4387434,0904,Balzar,60260,-1.360000000000000,-79.90000000000001,68.78%,68.78%,69.01%,69.3%,69.58%,69.92%,70.32%,70.53%
09,Guayas,4387434,0905,Colimes,26169,-1.550000000000000,-80.01666700000000,50.21%,50.21%,50.21%,50.28%,50.33%,50.33%,50.47%,50.7%
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,78.36%,78.36%,78.36%,78.68%,79.09%,80.27%,81.37%,81.37%
09,Guayas,4387434,0906,Daule,173684,-1.866667000000000,-79.98333300000000,60.31%,60.31%,60.56%,60.89%,61.19%,61.46%,61.66%,61.8%
09,Guayas,4387434,0907,Durán,315724,-2.166667000000000,-79.83333300000000,53.77%,53.79%,54.04%,54.34%,54.63%,54.88%,55.11%,55.26%
09,Guayas,4387434,0909,El Triunfo,59636,-2.330000000000000,-79.40000000000001,63.41%,63.44%,63.67%,63.97%,64.31%,64.5%,64.7%,64.8%
09,Guayas,4387434,0908,Empalme,86073,-1.046111000000000,-79.63361100000000,68.32%,68.32%,68.53%,68.79%,69%,69.22%,69.4%,69.41%
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,105.59%,105.59%,105.93%,106.19%,106.71%,107.32%,107.64%,107.64%
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,75.98%,75.99%,76.25%,76.54%,76.86%,77.17%,77.47%,77.56%
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,88.79%,88.79%,88.87%,89.21%,89.45%,89.61%,89.82%,89.82%
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,70.51%,70.51%,70.62%,70.78%,70.78%,71.21%,71.4%,71.4%
09,Guayas,4387434,0910,Milagro,199835,-2.126944000000000,-79.59916699999999,70.16%,70.16%,70.39%,70.65%,70.92%,71.16%,71.36%,71.37%
09,Guayas,4387434,0911,Naranjal,95052,-2.672800000000000,-79.61499999999999,68.12%,68.13%,68.29%,68.5%,68.72%,68.96%,69.2%,69.28%
09,Guayas,4387434,0912,Naranjito,43862,-2.173000000000000,-79.46710000000000,71.75%,71.75%,71.96%,72.25%,72.83%,73.32%,73.78%,73.78%
09,Guayas,4387434,0925,Nobol,26444,-1.916671000000000,-80.01153900000000,75.97%,75.97%,76.1%,76.39%,76.67%,76.87%,77.03%,77.2%
09,Guayas,4387434,0913,Palestina,18451,-1.626300000000000,-79.97700000000000,65.03%,65.03%,65.47%,65.47%,65.47%,65.47%,65.47%,65.67%
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,64.82%,64.82%,64.87%,65.2%,65.47%,65.78%,65.99%,66.29%
09,Guayas,4387434,0921,Playas,59628,-2.623330000000000,-80.38750000000000,77.34%,77.35%,77.56%,77.81%,78.16%,78.51%,78.79%,79%
09,Guayas,4387434,0919,Salitre,65765,-1.829444000000000,-79.81555600000000,62.18%,62.18%,62.41%,62.66%,62.87%,63.2%,63.54%,63.54%
09,Guayas,4387434,0916,Samborondón,102404,-2.183333000000000,-79.88333299999999,143.51%,143.51%,143.97%,144.52%,145.07%,145.65%,146.3%,146.68%
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,57.04%,57.04%,57.26%,57.65%,57.98%,58.28%,58.61%,58.67%
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,70.33%,70.33%,70.42%,70.6%,70.74%,70.88%,71.06%,71.14%
