inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,124.69%,124.7%,124.7%,124.9%,125.45%,125.66%,125.66%,125.66%,126.3%,126.55%,127.03%,127.41%,127.51%,128.2%,128.31%,128.31%,128.58%,128.94%,129.1%,129.35%,129.43%,129.47%,129.74%,129.87%,129.94%,130.02%,130.13%,130.35%
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,128.45%,128.5%,128.64%,128.85%,129.12%,129.38%,129.68%,129.68%,129.8%,130.28%,130.46%,130.57%,130.65%,130.73%,130.73%,130.79%,131.02%,131.08%,131.11%,131.15%,131.21%,131.21%,131.27%,131.39%,131.44%,131.5%,131.62%,131.7%
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,158.87%,158.89%,159.06%,159.33%,159.61%,159.72%,159.95%,160%,160.79%,161.06%,161.32%,161.57%,161.78%,161.95%,162.02%,162.05%,162.23%,162.35%,162.45%,162.52%,162.59%,162.62%,162.64%,162.69%,162.75%,162.8%,162.85%,162.9%
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,131.32%,131.32%,131.32%,131.35%,131.48%,131.48%,131.48%,131.48%,126.85%,126.85%,126.85%,127.11%,127.11%,127.27%,127.31%,127.31%,127.37%,127.43%,127.79%,127.82%,127.82%,127.82%,127.82%,127.86%,127.86%,127.86%,127.89%,127.89%
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,168.5%,168.57%,168.74%,168.9%,169.46%,169.85%,169.85%,169.85%,172.23%,172.35%,172.78%,173.54%,173.68%,173.82%,173.82%,173.91%,173.94%,174%,174.02%,174.23%,174.45%,174.45%,174.45%,174.62%,174.83%,174.97%,175.06%,175.06%
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,121.74%,121.74%,121.74%,121.74%,121.74%,121.74%,121.74%,121.74%,121.79%,121.92%,121.95%,122.03%,122.03%,122.05%,122.05%,122.05%,122.08%,122.08%,122.18%,122.23%,122.23%,122.23%,122.23%,122.29%,122.29%,122.29%,122.29%,122.34%
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,144.83%,144.85%,145.04%,145.35%,145.64%,146.06%,146.3%,146.43%,146.47%,147%,147.44%,147.79%,148.08%,148.4%,148.48%,148.48%,148.67%,148.87%,149.03%,149.1%,149.19%,149.21%,149.21%,149.36%,149.43%,149.53%,149.68%,149.86%
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,132.38%,132.38%,132.39%,132.43%,132.48%,132.93%,132.93%,132.93%,133.01%,133.02%,133.02%,133.7%,133.7%,133.92%,133.95%,133.97%,133.98%,134.05%,134.13%,134.36%,134.48%,134.48%,134.57%,134.57%,134.59%,134.59%,134.91%,134.91%
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,141.74%,141.91%,141.91%,141.91%,141.91%,142.3%,142.3%,142.3%,142.42%,142.61%,142.61%,142.64%,142.64%,142.66%,142.66%,142.73%,142.73%,142.78%,142.78%,143.17%,143.27%,143.27%,143.41%,143.41%,143.41%,143.46%,143.53%,143.6%
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,174.7%,174.71%,174.82%,174.94%,175.05%,175.29%,175.29%,175.31%,176.6%,176.92%,177.08%,177.21%,177.41%,177.57%,177.61%,177.77%,177.9%,178.04%,178.15%,178.18%,178.26%,178.28%,178.34%,178.4%,178.46%,178.5%,178.58%,178.62%
