provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,3%,3%,3%,3.14%,3.46%,3.65%,3.65%,3.65%
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,6.66%,6.81%,7.23%,7.73%,8.22%,8.51%,8.84%,8.84%
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,9.59%,9.61%,9.98%,10.59%,11.23%,11.45%,12.06%,12.18%
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,17.6%,17.6%,17.89%,18.83%,19.09%,19.12%,19.12%,19.12%
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,8.47%,8.67%,9.1%,9.7%,10.34%,11.27%,11.27%,11.27%
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,13.09%,13.09%,13.09%,13.09%,13.09%,13.09%,13.09%,13.09%
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,7.51%,7.53%,7.76%,8.23%,8.9%,9.25%,9.62%,9.83%
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,8.88%,8.88%,8.88%,8.88%,9.06%,9.65%,9.65%,9.65%
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,10.13%,10.2%,10.2%,10.2%,10.2%,10.56%,10.56%,10.56%
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,9.75%,9.83%,10.16%,10.58%,11.04%,11.65%,11.65%,11.85%
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,6.56%,6.56%,6.56%,6.56%,6.62%,6.75%,6.75%,6.75%
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,10.95%,10.95%,10.95%,10.95%,10.95%,11.07%,11.07%,11.07%
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,9.95%,10.32%,10.53%,11.09%,11.54%,12.8%,12.8%,12.8%
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,7.81%,7.81%,7.84%,7.95%,8.11%,8.13%,8.13%,8.13%
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,7.75%,7.79%,8.01%,8.23%,8.48%,8.71%,8.71%,8.71%
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,9.32%,9.32%,9.56%,9.82%,10.12%,10.39%,10.77%,10.88%
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,8.63%,8.63%,8.68%,8.8%,8.96%,9.2%,9.61%,9.61%
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,10.23%,10.23%,10.63%,11.12%,11.38%,11.85%,12.23%,12.34%
