inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
02,Bolívar,209933,0202,Chillanes,16850,-1.933333000000000,-79.06666700000000,17.26%,17.26%,17.36%,17.6%,17.91%,18.41%,19.23%,19.23%,9.61%,10.55%,10.84%,11.23%,11.53%,11.93%,11.93%,11.93%,12.37%,13%,13.57%,14.18%,14.91%,14.91%,14.97%,15.61%,16.17%,16.56%,17.08%,17.42%
02,Bolívar,209933,0203,Chimbo,17378,-1.700000000000000,-79.01666700000000,20.46%,20.46%,21.27%,22.24%,22.76%,23.7%,24.46%,24.67%,12.34%,12.92%,13.44%,14.17%,14.97%,15.37%,15.5%,15.5%,16.04%,16.41%,16.99%,17.46%,17.78%,18%,18%,18.24%,18.44%,18.6%,18.74%,19%
02,Bolívar,209933,0204,Echeandía,14081,-1.433330000000000,-79.26667000000000,21.38%,21.38%,21.72%,22.26%,22.6%,22.94%,23.39%,23.69%,12.31%,12.54%,12.77%,12.89%,12.9%,13.05%,13.14%,13.21%,13.22%,13.44%,13.75%,13.85%,14.05%,14.05%,14.11%,14.33%,14.45%,14.62%,14.8%,14.94%
02,Bolívar,209933,0201,Guaranda,108763,-1.605556000000000,-79.00305600000000,14.22%,14.22%,14.25%,14.38%,14.58%,15.14%,15.68%,15.82%,8.02%,8.25%,8.54%,8.78%,8.97%,9.14%,9.25%,9.3%,9.5%,9.78%,10%,10.14%,10.33%,10.41%,10.48%,10.62%,10.74%,10.9%,11.04%,11.19%
02,Bolívar,209933,0207,Las Naves,7428,-1.283330000000000,-79.30000000000000,14.27%,14.27%,14.59%,14.62%,15.35%,16.18%,17.07%,17.07%,8.68%,9.11%,9.29%,9.65%,9.84%,9.99%,9.99%,9.99%,10.16%,10.3%,10.41%,10.54%,10.57%,10.57%,10.57%,10.78%,10.85%,11.09%,11.3%,11.56%
02,Bolívar,209933,0205,San Miguel,29004,-1.700000000000000,-79.03333300000000,27.02%,27.04%,27.95%,28.68%,29.55%,30.57%,31.56%,31.84%,16.05%,16.05%,16.85%,17.46%,18.12%,18.67%,18.83%,19.02%,19.62%,20.16%,20.81%,21.27%,21.7%,21.91%,21.91%,22.29%,22.5%,22.84%,22.99%,23.28%
04,Carchi,186869,0402,Bolivar,15528,0.5070990000000000,-77.86245400000000,14.05%,14.05%,14.46%,14.95%,15.73%,17.89%,18.74%,18.74%,9.37%,9.72%,10.57%,11.3%,11.95%,12.41%,12.41%,12.41%,12.84%,13.09%,13.4%,13.49%,13.79%,13.79%,13.81%,14.21%,14.59%,15%,15.49%,15.55%
04,Carchi,186869,0403,Espejo,13817,0.6210000000000000,-77.94000000000000,26.66%,26.68%,28.02%,29.15%,30.54%,31.18%,31.8%,31.8%,15.9%,16.57%,17.46%,18.34%,19.11%,19.8%,19.8%,19.88%,20.32%,20.87%,21.36%,22.28%,22.75%,22.98%,22.99%,23.76%,24.29%,25.06%,25.57%,25.87%
04,Carchi,186869,0404,Mira,11969,0.5538999999999999,-78.04930000000000,26.17%,26.17%,26.74%,28.11%,29.24%,29.91%,30.65%,32.6%,16.34%,17.34%,18.7%,19.83%,20.54%,21.29%,21.38%,21.59%,22.07%,23.03%,23.03%,23.39%,23.52%,23.52%,23.52%,23.8%,24.26%,24.98%,25.34%,26.28%
04,Carchi,186869,0405,Montúfar,34229,0.6100000000000000,-77.84000000000000,16.44%,16.49%,16.94%,17.43%,18.05%,18.63%,19.2%,19.2%,9.6%,10.3%,11.32%,11.65%,11.97%,12.3%,12.3%,12.31%,12.73%,13.01%,13.8%,14%,14.28%,14.28%,14.28%,14.67%,14.94%,15.24%,15.48%,15.69%
